Name,Position,Team,Positions > 1
Dak Prescott,Offense,Dallas Cowboys,yes
Cole Beasley,Offense,Dallas Cowboys,yes
Ezekiel Elliott,Rushing,Dallas Cowboys,yes
Dak Prescott,Rushing,Dallas Cowboys,no
Rod Smith,Rushing,Dallas Cowboys,yes
Tavon Austin,Rushing,Dallas Cowboys,no
Darius Jackson,Rushing,Dallas Cowboys,no
Amari Cooper,Rushing,Dallas Cowboys,yes
Jourdan Lewis,Rushing,Dallas Cowboys,yes
Jeff Heath,Rushing,Dallas Cowboys,yes
Ezekiel Elliott,Receiving,Dallas Cowboys,yes
Amari Cooper,Receiving,Dallas Cowboys,yes
Cole Beasley,Receiving,Dallas Cowboys,yes
Michael Gallup,Receiving,Dallas Cowboys,no
Blake Jarwin,Receiving,Dallas Cowboys,no
Geoff Swaim,Receiving,Dallas Cowboys,yes
Leighton Esch,Defense,Dallas Cowboys,yes
Jaylon Smith,Defense,Dallas Cowboys,no
Jeff Heath,Defense,Dallas Cowboys,yes
Chidobe Awuzie,Defense,Dallas Cowboys,no
Byron Jones,Defense,Dallas Cowboys,no
Demarcus Lawrence ,Defense,Dallas Cowboys,no
Xavier Woods,Defense,Dallas Cowboys,no
Anthony Brown,Defense,Dallas Cowboys,no
Damien Wilson,Defense,Dallas Cowboys,no
Tyrone Crawford,Defense,Dallas Cowboys,no
Antwaun Woods,Defense,Dallas Cowboys,no
Sean Lee,Defense,Dallas Cowboys,no
Taco Charlton,Defense,Dallas Cowboys,no
Randy Gregory,Defense,Dallas Cowboys,no
Kavon Frazier,Defense,Dallas Cowboys,no
Maliek Collins,Defense,Dallas Cowboys,no
Joe Thomas,Defense,Dallas Cowboys,no
Daniel Ross,Defense,Dallas Cowboys,no
Dorance Armstrong,Defense,Dallas Cowboys,no
Jourdan Lewis,Defense,Dallas Cowboys,yes
Jamize Olawale,Defense,Dallas Cowboys,yes
Caraun Reid,Defense,Dallas Cowboys,no
Rod Smith,Defense,Dallas Cowboys,yes
Noah Brown,Defense,Dallas Cowboys,yes
Daniel Irving,Defense,Dallas Cowboys,no
Justin March-Lillard,Defense,Dallas Cowboys,no
Blake Jarwin,Defense,Dallas Cowboys,yes
L.P. LaDouceur,Defense,Dallas Cowboys,no
Ezekiel Elliott,Defense,Dallas Cowboys,yes
Geoff Swaim,Defense,Dallas Cowboys,yes
Lance Lenoir,Defense,Dallas Cowboys,yes
C.J. Goodwin,Defense,Dallas Cowboys,no
Amari Cooper,Defense,Dallas Cowboys,yes
Chris Covington,Defense,Dallas Cowboys,no
La’el Collins,Defense,Dallas Cowboys,no
Joe Looney,Defense,Dallas Cowboys,no
Dalton Schultz,Defense,Dallas Cowboys,yes
Connor Williams,Defense,Dallas Cowboys,no
Dak Prescott,Defense,Dallas Cowboys,yes
Chris Jones,Defense,Dallas Cowboys,no
Allen Hurns,Receiving,Dallas Cowboys,no
Dalton Schultz,Receiving,Dallas Cowboys,yes
Rod Smith,Receiving,Dallas Cowboys,yes
Tavon Austin,Receiving,Dallas Cowboys,no
Noah Brown,Receiving,Dallas Cowboys,yes
Rico Gathers,Receiving,Dallas Cowboys,no
Terrance Williams,Receiving,Dallas Cowboys,no
Jamize Olawale,Receiving,Dallas Cowboys,yes
